ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	Complex comment	Disease comment	Subunits comment	SWISSPROT organism	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)
7881	NMD3-RAN-XPO1 complex	Human	NMD3-RAN-CRM1 complex	HeLa cells	O14980;P62826;Q96D46	7514;5901;51068	MI:0007-anti tag coimmunoprecipitation	GO:0000055;GO:0005737;GO:0005634	ribosomal large subunit export from nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	12724356	NMD3 binds to XPO1 directly, in a RanGTP-dependent manner, by way of a C-terminal NES sequence. Results suggest that the functions of CRM1 and NMD3 in ribosomal subunit export are conserved from yeast to higher eukaryotes.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Exportin-1;GTP-binding nuclear protein Ran;60S ribosomal export protein NMD3	XPO1;RAN;NMD3	CRM1;ARA24;None
8251	RAN-RANBP3-XPO1 complex	Human	RanGTP-RANBP3-CRM1 complex	HeLa cells	O14980;P62826;Q9H6Z4	7514;5901;8498	MI:0007-anti tag coimmunoprecipitation	GO:0006611;GO:0005737;GO:0005634	protein export from nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	11571268	RanBP3 can form a tight complex with XPO1 (CRM1) and RAN (RanGTP) that is resistant to RanBP1-mediated dissociation and that is leptomycin B insensitive. RanBP3 functions by a novel mechanism as a cofactor in recognition and protein export of certain CRM1 substrates.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Exportin-1;GTP-binding nuclear protein Ran;Ran-binding protein 3	XPO1;RAN;RANBP3	CRM1;ARA24;None
8252	RAN-XPO4 complex	Human	RanGTP-Exportin complex	HeLa cells	P62826;Q9C0E2	5901;64328	MI:0007-anti tag coimmunoprecipitation	GO:0006611;GO:0005737;GO:0005634	protein export from nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	10944119	The RAN-XPO4 complex mediates the nuclear export of proteins such as  eIF-5A or SMAD3 (PMID: 16449645).	None	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Exportin-4	RAN;XPO4	ARA24;KIAA1721
8254	RAN-XPO5 complex	Human	RanGTP-Exp5 complex	HeLa cells	P62826;Q9HAV4	5901;57510	MI:0004-affinity chromatography technology	GO:0006611;GO:0005737;GO:0005634;GO:0006405	protein export from nucleus;cytoplasm;nucleus;RNA export from nucleus	70.03;70.10	cytoplasm;nucleus	12426392	The RAN-XPO5 complex exports eEF1A via tRNA from nuclei and synergizes with other transport pathways to confine translation to the cytoplasm.	None	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Exportin-5	RAN;XPO5	ARA24;KIAA1291 RANBP21
8257	RAN-XPO6 complex	Human	RanGTP-Exp6 complex	HeLa cells	P62826;Q96QU8	5901;23214	MI:0004-affinity chromatography technology	GO:0006611;GO:0005634;GO:0005737	protein export from nucleus;nucleus;cytoplasm	70.10;70.03	nucleus;cytoplasm	14592989	The RAN-XPO6 complex mediates nuclear export of profilin-actin complexes and other factors which are functionally related and represent either constituents or regulators of the actin cytoskeleton.	None	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Exportin-6	RAN;XPO6	ARA24;KIAA0370 RANBP20
8258	RAN-XPO7 complex	Human	RanGTP-Exp7 complex	HeLa cells	P62826;Q9UIA9	5901;23039	MI:0004-affinity chromatography technology	GO:0005737;GO:0006611;GO:0005634	cytoplasm;protein export from nucleus;nucleus	70.03;70.10	cytoplasm;nucleus	15282546	The RNA-XPO7 complex functions as nuclear export complex that excludes Rho GTPase-activating protein 1, 14-3-3 protein sigma and apparently numerous other proteins from the nucleus. Beside CRM1, XPO7 appears now to be the second example of an exportin with broad substrate specificity.	None	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Exportin-7	RAN;XPO7	ARA24;KIAA0745 RANBP16
8259	RAN-XPOT complex	Human	RanGTP-XPOT complex	HeLa cells	O43592;P62826	11260;5901	MI:0004-affinity chromatography technology	GO:0006405;GO:0005737;GO:0005634	RNA export from nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	9660920	tRNAs are synthesized in the nucleus and after several maturation steps exported to the cytoplasm by the RAN-XPOT complex. XPOT can distinguish tRNA from other highly structured RNA species.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Exportin-T;GTP-binding nuclear protein Ran	XPOT;RAN	None;ARA24
8260	IPO4-RAN complex	Human	None	in vitro	P62826;Q8TEX9	5901;79711	MI:0019-coimmunoprecipitation	GO:0005634;GO:0005737;GO:0006606	nucleus;cytoplasm;protein import into nucleus	70.10;70.03	nucleus;cytoplasm	17682055	In spermatoids,  IPO4 is required for the transport of transition protein 2 into the nucleus.  Binding of RanGTP releases IPO4 from its cargo. In HeLa cells, IPO4 transports the ribosomal protein S3a into the nucleus (PMID: 11823430).	None	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Importin-4	RAN;IPO4	ARA24;IMP4B, RANBP4
8261	IPO5-RAN complex	Human	RANBP5-RanGTP complex	HeLa cells	O00410;P62826	3843;5901	MI:0004-affinity chromatography technology	GO:0005737;GO:0005634;GO:0006610	cytoplasm;nucleus;ribosomal protein import into nucleus	70.03;70.10	cytoplasm;nucleus	9687515	The import receptor IPO5 binds ribosomal proteins only in the absence of RanGTP, i.e. in the cytoplasm, and releases them upon interaction with RanGTP which should happen in the nucleus where the RanGTP concentration is predicted to be high. In addition, NMDAR (N-methyl-D-aspartate receptor) signaling facilitates the IPO5-mediated nuclear import of CPEB3, a nucleocytoplasm-shuttling RNA-binding protein.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin-5;GTP-binding nuclear protein Ran	IPO5;RAN	KPNB3 RANBP5;ARA24
8262	IPO7-RAN complex	Human	RANBP7-RanGTP complex	HeLa cells	O95373;P62826	10527;5901	MI:0004-affinity chromatography technology	GO:0006610;GO:0005737;GO:0005634	ribosomal protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	9687515	The import receptor IPO7 binds ribosomal proteins such as S7, L5 and L23a only in the absence of RanGTP, i.e. in the cytoplasm, and releases them upon interaction with RanGTP which should happen in the nucleus where the RanGTP concentration is predicted to be high.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin-7;GTP-binding nuclear protein Ran	IPO7;RAN	RANBP7;ARA24
8263	IPO11-RAN complex	Human	RANBP11-RanGTP complex	HEK293 cells	P62826;Q9UI26	5901;51194	MI:0019-coimmunoprecipitation	GO:0006606;GO:0005737;GO:0005634	protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	31881079	The import receptor IPO11 binds catenin beta only in the absence of RanGTP, i.e. in the cytoplasm, and release it upon interaction with RanGTP which should happen in the nucleus where the RanGTP concentration is predicted to be high.	IPO11 knockout decreased colony formation of colorectal cancers (CRC) cell lines and decreased proliferation of patient-derived CRC organoids.	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Importin-11	RAN;IPO11	ARA24;RANBP11
8264	IPO13-RAN complex	Human	RANBP13-RanGTP complex	HeLa cells	O94829;P62826	9670;5901	MI:0004-affinity chromatography technology	GO:0005737;GO:0005634;GO:0006606;GO:0006611	cytoplasm;nucleus;protein import into nucleus;protein export from nucleus	70.03;70.10	cytoplasm;nucleus	11447110	The import receptor IPO13 binds its substrates ribosomal protein L5, the RBM8 protein, MGN, the NF-YB protein as well as the SUMO-conjugating enzyme hUBC9 only in the absence of RanGTP, i.e. in the cytoplasm, and releases them upon interaction with RanGTP which should happen in the nucleus where the RanGTP concentration is predicted to be high. IPO13 also shows export activity towards the translation initiation factor eIF1A.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin-13;GTP-binding nuclear protein Ran	IPO13;RAN	KIAA0724 RANBP13;ARA24
8274	IPO9-RAN complex	Human	RanBP9-RanGTP complex	HeLa cells	P62826;Q96P70	5901;55705	MI:0004-affinity chromatography technology	GO:0006610;GO:0005737;GO:0005634	ribosomal protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	11823430	The import receptor IPO9 binds its substrates hepatocellular carcinoma-associated protein, the ribosomal proteins S3, S7, S9 and L19, the heat shock protein HSP27 and the core histone H2B only in the absence of RanGTP, i.e. in the cytoplasm, and release them upon interaction with RanGTP which should happen in the nucleus where the RanGTP concentration is predicted to be high.	None	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Importin-9	RAN;IPO9	ARA24;IMP9 KIAA1192 RANBP9
8275	IPO8-RAN complex	Human	RANBP8-RanGTP complex	HeLa cells	O15397;P62826	10526;5901	MI:0004-affinity chromatography technology	GO:0006606;GO:0005737;GO:0005634	protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	11682607	The import receptor IPO8 binds its substrate SRP19 (signal recognition particle) only in the absence of RanGTP, i.e. in the cytoplasm, and release them upon interaction with RanGTP which should happen in the nucleus where the RanGTP concentration is predicted to be high.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin-8;GTP-binding nuclear protein Ran	IPO8;RAN	RANBP8;ARA24
8276	IPO7-KPNB1 complex	Human	Importin-RANBP7 complex	HeLa cells; in vitro	O95373;Q14974	10527;3837	MI:0004-affinity chromatography technology	GO:0006606;GO:0005737;GO:0005634	protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	12080050	The IPO7-KPNB1 complex binds its substrates H1 histone and ribosomal proteins rpL4 and rpL6 only in the absence of RanGTP, i.e. in the cytoplasm, and release them upon interaction with RanGTP which should happen in the nucleus where the RanGTP concentration is predicted to be high.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin-7;Importin subunit beta-1	IPO7;KPNB1	RANBP7;NTF97
8290	RAN-TNPO3 complex	Human	RanGTP-IPO12 complex	in vitro	P62826;Q9Y5L0	5901;23534	MI:0114-x-ray crystallography	GO:0006606;GO:0005737;GO:0005634	protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	24449914	TPNO3 was shown to execute the nuclear import of SRSF1 (ASF/SF2) and SRSF2 (SC35).	None	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Transportin-3	RAN;TNPO3	ARA24;IPO12
8293	RAN-TNPO1 complex	Human	karyopherin-beta2-Ran x GppNHp complex	in vitro	P62826;Q92973	5901;3842	MI:0114-x-ray crystallography	GO:0006606;GO:0005737;GO:0005634	protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	10353245	The import receptor TNPO1 (TRN1) binds its substrates in the absence of RanGTP, i.e. in the cytoplasm, and release them upon interaction with RanGTP which should happen in the nucleus where the RanGTP concentration is predicted to be high. TNPO1 mediates the transport for heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1), hnRNP D, TAP, a ribosomal protein L23a, c-Fos, HIV Rev, and others.	None	None	Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Transportin-1	RAN;TNPO1	ARA24;KPNB2 MIP1 TRN
8586	ILF3-RAN-XPO5-ZNF346 complex	Human	ILF3-RAN-XPO5-JAZ complex	HeLa cells	P62826;Q12906;Q9HAV4;Q9UL40	5901;3609;57510;23567	MI:0007-anti tag coimmunoprecipitation	GO:0006611;GO:0006405;GO:0005737;GO:0005634	protein export from nucleus;RNA export from nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	15254228	ZNF346 (JAZ) is an unusual dsRNA-binding protein that binds its target RNAs with high affinity via C2H2 zinc fingers. It is a nuclear protein at steady state but is highly dynamic within the nucleus and undergoes nucleocytoplasmic shuttling.	None	For the analyses the constitutively active variant RanQ69L was used.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	GTP-binding nuclear protein Ran;Interleukin enhancer-binding factor 3;Exportin-5;Zinc finger protein 346	RAN;ILF3;XPO5;ZNF346	ARA24;DRBF MPHOSPH4 NF90;KIAA1291 RANBP21;JAZ
8597	KPNB1-SMN1-SNUPN-ZRP1 complex	Human	KPNB1-SMN1-SNUPN-ZNF259 complex	HeLa cells	O75312;O95149;Q14974;Q16637	8882;10073;3837;None	MI:0007-anti tag coimmunoprecipitation;MI:0071-molecular sieving	GO:0005737;GO:0006404;GO:0005634	cytoplasm;RNA import into nucleus;nucleus	70.03;70.10	cytoplasm;nucleus	12095920	Findings that SMN directly interacts with importin beta (KPNB1) and that snurportin1 (SNUPN), SMN, ZPR1, importin beta and TMG-capped snRNPs form a complex indicates that SMN may be imported into the nucleus along with the snRNPs.	None	In gel filtration assays, KPNB1, SMN1, SNUPN and ZRP1 co-migrate in the 400-500 kDa region.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Zinc finger protein ZPR1;Snurportin-1;Importin subunit beta-1;Survival motor neuron protein	ZPR1;SNUPN;KPNB1;SMN1	ZNF259;RNUT1 SPN1;NTF97;SMN SMNT
8664	KPNA2-NUP50 complex	Human	Inportin alpha-Npap60L complex	HeLa cells	P52292;Q9UKX7-1	3838;10762	MI:0019-coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0006606;GO:0005634	protein import into nucleus;nucleus	70.10	nucleus	20016008	In humans, there are two NUP50 (Npap60) isoforms: the long (Npap60L) and short (Npap60S) forms. Npap60S stabilizes the binding of importin alpha to classical NLS-cargo, whereas Npap60L promotes the release of NLS-cargo from importin alpha.	None	Endogenous Npap60 localizes mainly to the nucleus.	Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-1;Isoform 1 of Nuclear pore complex protein Nup50	KPNA2;NUP50	RCH1, SRP1;NPAP60L
8665	KPNA2-NUP50 complex	Human	Importin alpha-Npap60S complex	HeLa cells	P52292;Q9UKX7-2	3838;10762	MI:0019-coimmunoprecipitation;MI:0416-fluorescence microscopy	GO:0006606;GO:0005634	protein import into nucleus;nucleus	70.10	nucleus	20016008	In humans, there are two NUP50 (Npap60) isoforms: the long (Npap60L) and short (Npap60S) forms. Npap60S stabilizes the binding of importin alpha to classical NLS-cargo, whereas Npap60L promotes the release of NLS-cargo from importin alpha.	None	Endogenous Npap60 localizes mainly to the nucleus.	Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-1;Isoform 2 of Nuclear pore complex protein Nup50	KPNA2;NUP50	RCH1, SRP1;NPAP60L
8666	KPNA4-KPNB1 complex	Human	Importin alpha3-importin beta complex	in vitro	O00629;Q14974	3840;;3837	MI:0416-fluorescence microscopy;MI:0107-surface plasmon resonance	GO:0006606;GO:0005737;GO:0005634	protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	10523667	The KPNA4-KPNB1 complex was shown to perform the nuclear import of proteins such as the shuttling RNA-binding protein hnRNP K and the chromatin-bound protein RCC1.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-3;Importin subunit beta-1	KPNA4;KPNB1	QIP1;NTF97
8667	KPNA3-KPNB1 complex	Human	Importin alpha4-importin beta complex	in vitro	O00505;Q14974	None;3837	MI:0416-fluorescence microscopy;MI:0107-surface plasmon resonance	GO:0006606;GO:0005737;GO:0005634	protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	10523667	The KPNA3-KPNB1 complex was shown to perform the nuclear import of proteins such as the shuttling RNA-binding protein hnRNP K and the chromatin-bound protein RCC1.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-4;Importin subunit beta-1	KPNA3;KPNB1	QIP2;NTF97
8668	KPNA1-KPNB1 complex	Human	Importin alpha5-importin beta complex	in vitro	P52294;Q14974	3836;3837	MI:0416-fluorescence microscopy;MI:0107-surface plasmon resonance	GO:0006606;GO:0005737;GO:0005634	protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	10523667	The KPNA1-KPNB1 complex was shown to perform the nuclear import of proteins such as the shuttling RNA-binding protein hnRNP K and the chromatin-bound protein RCC1.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-5;Importin subunit beta-1	KPNA1;KPNB1	RCH2;NTF97
8669	KPNA6-KPNB1 complex	Human	Importin alpha7-importin beta complex	in vitro	O60684;Q14974	23633;;3837	MI:0416-fluorescence microscopy;MI:0107-surface plasmon resonance	GO:0006606;GO:0005737;GO:0005634	protein import into nucleus;cytoplasm;nucleus	70.03;70.10	cytoplasm;nucleus	10523667	The KPNA6-KPNB1 complex was shown to perform the nuclear import of proteins such as the shuttling RNA-binding protein hnRNP K and the chromatin-bound protein RCC1.	None	None	Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-7;Importin subunit beta-1	KPNA6;KPNB1	IPOA7;NTF97
8670	CSE1L-KPNA4-RAN complex	Human	CAS-Importin alpha3-RanGTP complex	in vitro	O00629;P55060;P62826	3840;;1434;5901	MI:0400-affinity technology	GO:0005737;GO:0005634;GO:0006611	cytoplasm;nucleus;protein export from nucleus	70.03;70.10	cytoplasm;nucleus	10523667	The the return of importin alpha proteins from the nucleus into the cytoplasm is mediated by the nuclear export factor CSE1L (CAS), which binds to importin alpha proteins preferentially in the presence of RanGTP.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-3;Exportin-2;GTP-binding nuclear protein Ran	KPNA4;CSE1L;RAN	QIP1;CAS XPO2;ARA24
8671	CSE1L-KPNA3-RAN complex	Human	CAS-Importin alpha4-RanGTP complex	in vitro	O00505;P55060;P62826	None;1434;5901	MI:0400-affinity technology	GO:0005737;GO:0005634;GO:0006611	cytoplasm;nucleus;protein export from nucleus	70.03;70.10	cytoplasm;nucleus	10523667	The the return of importin alpha proteins from the nucleus into the cytoplasm is mediated by the nuclear export factor CSE1L (CAS), which binds to importin alpha proteins preferentially in the presence of RanGTP.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-4;Exportin-2;GTP-binding nuclear protein Ran	KPNA3;CSE1L;RAN	QIP2;CAS XPO2;ARA24
8672	CSE1L-KPNA1-RAN complex	Human	CAS-Importin alpha5-RanGTP complex	in vitro	P52294;P55060;P62826	3836;1434;5901	MI:0400-affinity technology	GO:0005737;GO:0005634;GO:0006611	cytoplasm;nucleus;protein export from nucleus	70.03;70.10	cytoplasm;nucleus	10523667	The the return of importin alpha proteins from the nucleus into the cytoplasm is mediated by the nuclear export factor CSE1L (CAS), which binds to importin alpha proteins preferentially in the presence of RanGTP.	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	Importin subunit alpha-5;Exportin-2;GTP-binding nuclear protein Ran	KPNA1;CSE1L;RAN	RCH2;CAS XPO2;ARA24
